active,confirmed,country,deaths,recovered
,119827,,,
,119827,,14681,
,119827,,14681,19758
85388,119827,,14681,19758
85388,119827,Italy,14681,19758
85388,117710,Italy,14681,19758
85388,117710,Italy,10935,19758
85388,117710,Italy,10935,30513
76262,117710,Italy,10935,30513
76262,117710,Spain,10935,30513
76262,265506,Spain,10935,30513
76262,265506,Spain,6786,30513
76262,265506,Spain,6786,11983
246737,265506,Spain,6786,11983
246737,265506,USA,6786,11983
246737,59105,USA,6786,11983
246737,59105,USA,5387,11983
246737,59105,USA,5387,12428
41290,59105,USA,5387,12428
41290,59105,France,5387,12428
41290,38168,France,5387,12428
41290,38168,France,3605,12428
41290,38168,France,3605,135
34428,38168,France,3605,135
34428,38168,UK,3605,135
34428,81620,UK,3605,135
34428,81620,UK,3322,135
34428,81620,UK,3322,76571
1727,81620,UK,3322,76571
1727,81620,China,3322,76571
1727,53183,China,3322,76571
1727,53183,China,3294,76571
1727,53183,China,3294,17935
31954,53183,China,3294,17935
31954,53183,Iran,3294,17935
31954,15723,Iran,3294,17935
31954,15723,Iran,1487,17935
31954,15723,Iran,1487,250
13986,15723,Iran,1487,250
13986,15723,Netherlands,1487,250
13986,89838,Netherlands,1487,250
13986,89838,Netherlands,1230,250
13986,89838,Netherlands,1230,24575
64033,89838,Netherlands,1230,24575
64033,89838,Germany,1230,24575
64033,16770,Germany,1230,24575
64033,16770,Germany,1143,24575
64033,16770,Germany,1143,2872
12755,16770,Germany,1143,2872
12755,16770,Belgium,1143,2872
12755,19606,Belgium,1143,2872
12755,19606,Belgium,591,2872
12755,19606,Belgium,591,4846
14169,19606,Belgium,591,4846
14169,19606,Switzerland,591,4846
14169,20921,Switzerland,591,4846
14169,20921,Switzerland,425,4846
14169,20921,Switzerland,425,484
20012,20921,Switzerland,425,484
20012,20921,Turkey,425,484
20012,6131,Turkey,425,484
20012,6131,Turkey,358,484
20012,6131,Turkey,358,205
5568,6131,Turkey,358,205
5568,6131,Sweden,358,205
5568,8229,Sweden,358,205
5568,8229,Sweden,343,205
5568,8229,Sweden,343,127
7759,8229,Sweden,343,127
7759,8229,Brazil,343,127
7759,9886,Brazil,343,127
7759,9886,Brazil,246,127
7759,9886,Brazil,246,68
9572,9886,Brazil,246,68
9572,9886,Portugal,246,68
9572,1986,Portugal,246,68
9572,1986,Portugal,181,68
9572,1986,Portugal,181,134
1671,1986,Portugal,181,134
1671,1986,Indonesia,181,134
1671,10062,Indonesia,181,134
1671,10062,Indonesia,174,134
1671,10062,Indonesia,174,6021
3867,10062,Indonesia,174,6021
3867,10062,S. Korea,174,6021
3867,11747,S. Korea,174,6021
3867,11747,S. Korea,173,6021
3867,11747,S. Korea,173,1979
9595,11747,S. Korea,173,1979
9595,11747,Canada,173,1979
9595,11489,Canada,173,1979
9595,11489,Canada,168,1979
9595,11489,Canada,168,2022
9299,11489,Canada,168,2022
9299,11489,Austria,168,2022
9299,3368,Austria,168,2022
9299,3368,Austria,145,2022
9299,3368,Austria,145,65
3158,3368,Austria,145,65
3158,3368,Ecuador,145,65
3158,3757,Ecuador,145,65
3158,3757,Ecuador,139,65
3158,3757,Ecuador,139,1193
